emoji,name,unit,kcal,p,f,c,categories
🍿,ポテトチップス,1袋(60g),332,2.8,21.6,32.4,snack
🥜,ミックスナッツ,25g,158,4.8,14,4.5,snack|protein
🍯,はちみつ,大さじ1(21g),62,0,0,16.7,seasoning
🫗,醤油,大さじ1,13,1.4,0,1.8,seasoning
🫗,マヨネーズ,大さじ1(15g),100,0.3,11.2,0.1,seasoning
🫗,ドレッシング(和風),大さじ1,15,0.3,0.5,2.3,seasoning
🫗,ケチャップ,大さじ1(18g),19,0.3,0,4.7,seasoning
🫗,オリーブオイル,大さじ1(13g),120,0,13,0,seasoning
🫗,みりん,大さじ1(18g),43,0.1,0,7.8,seasoning
🫗,砂糖,大さじ1(9g),35,0,0,9,seasoning
🫗,味噌,大さじ1(18g),33,2.3,1.1,3.5,seasoning
🍜,ラーメン,1杯,470,18,15,65,meal|heavy
🍛,カレーライス,1皿,520,14,12,85,meal|heavy
🏫,給食(中学),1食,830,30,25,110,meal|heavy
🥘,肉野菜炒め定食,1食,560,20,19,69,meal|heavy
🍳,レバニラ定食,1食,550,27,13,73,meal|heavy
🐷,生姜焼き定食,1食,610,27,23,67,meal|heavy
🍖,唐揚げ定食,1食,750,28,30,80,meal|heavy
🐟,焼き魚定食,1食,520,30,12,68,meal|heavy
🍤,天ぷら定食,1食,680,20,25,85,meal|heavy
🥩,ハンバーグ定食,1食,650,25,25,72,meal|heavy
🍳,オムライス,1皿,590,18,20,80,meal|heavy
🍚,チャーハン,1皿,550,15,18,75,meal|heavy
🥘,牛丼,1杯,620,20,18,85,meal|heavy
🍗,親子丼,1杯,570,22,12,82,meal|heavy
🍖,カツ丼,1杯,750,25,28,85,meal|heavy
🍣,寿司(にぎり),1人前(8貫),480,28,6,72,meal|heavy
🍙,おにぎり(ツナマヨ),1個,220,5,6,36,conbini
🍙,おにぎり(鮭),1個,180,5,1.5,37,conbini
🥪,サンドイッチ(ハムチーズ),1パック,300,12,14,30,conbini
🍗,サラダチキン,1個(110g),121,26,1.5,0.5,conbini|protein|fav
🥚,ゆで卵(コンビニ),1個,76,6.5,5.5,0.2,conbini|protein
🍜,カップ麺,1個,350,8,14,48,conbini|heavy
🥟,肉まん,1個,250,8,8,35,conbini
🥗,コンビニサラダ,1パック,25,1.5,0.2,4,conbini|veg
🍙,おにぎり(梅),1個,170,3,0.5,38,conbini
🥪,BLTサンド,1パック,280,10,12,32,conbini
